iter	RMSE
0	79106.30253
1	78470.33171
2	77879.89861
3	77414.85926
4	77048.11315
5	76689.36348
6	76360.17662
7	76079.42865
8	75830.40907
9	75615.87618
10	75429.83387
11	75265.46097
12	75102.89024
13	74968.93084
14	74839.15318
15	74726.53322
16	74623.02468
17	74536.33435
18	74443.78344
19	74348.14159
20	74269.68227
21	74209.16487
22	74130.68516
23	74075.33287
24	74020.77047
25	73963.39679
26	73907.60366
27	73870.60044
28	73827.03003
29	73792.14725
30	73749.20554
31	73711.55756
32	73671.86417
33	73639.88144
34	73604.49849
35	73569.80771
36	73528.24895
37	73503.01106
38	73471.28836
39	73442.66148
40	73417.55961
41	73378.68216
42	73362.40129
43	73325.8757
44	73312.69044
45	73281.14654
46	73246.5775
47	73234.45428
48	73204.06646
49	73168.77443
50	73144.63143
51	73126.07109
52	73096.94045
53	73069.47555
54	73047.91112
55	73022.9735
56	72998.77246
57	72977.77917
58	72953.81727
59	72925.15715
60	72910.09327
61	72893.14569
62	72875.22722
63	72853.66071
64	72814.60917
65	72798.44839
66	72771.77357
67	72750.3113
68	72722.48921
69	72700.3314
70	72649.9047
71	72625.32003
72	72599.98318
73	72578.73588
74	72560.47301
75	72544.96689
76	72532.23159
77	72497.25178
78	72466.71181
79	72433.32031
80	72371.66235
81	72357.88302
82	72346.60193
83	72328.15466
84	72306.28525
85	72263.29557
86	72244.57912
87	72223.59241
88	72205.06836
89	72177.06434
90	72142.76878
91	72129.75572
92	72107.30183
93	72087.93623
94	72062.52961
95	72043.73472
96	72024.826
97	72020.04706
98	71987.0938
99	71969.36242
100	71952.592
101	71931.19285
102	71921.44728
103	71901.0975
104	71886.33271
105	71854.87407
106	71840.14218
107	71831.22201
108	71813.99627
109	71794.4552
110	71766.71741
111	71737.21064
112	71718.24522
113	71683.35133
114	71655.10516
115	71638.48539
116	71617.61592
117	71601.36272
118	71576.32776
119	71553.88096
120	71526.47813
121	71504.46074
122	71496.32999
123	71472.48112
124	71462.46862
125	71441.12143
126	71404.59919
127	71386.24557
128	71371.76242
129	71354.47156
130	71341.2066
131	71315.56105
132	71304.20677
133	71286.04259
134	71268.22183
135	71253.10889
136	71216.22632
137	71189.33819
138	71173.17817
139	71143.58485
140	71126.70739
141	71113.04507
142	71097.14759
143	71082.88849
144	71071.91621
145	71031.87679
146	71020.06288
147	71012.50289
148	71004.8612
149	70970.0942
150	70953.68683
151	70939.16563
152	70930.86036
153	70914.10681
154	70876.61172
155	70843.69408
156	70823.81933
157	70815.14673
158	70781.77246
159	70758.2036
160	70743.42462
161	70720.89916
162	70713.79034
163	70705.3312
164	70687.40958
165	70673.3198
166	70657.33058
167	70645.77481
168	70624.21756
169	70616.2111
170	70595.59191
171	70579.71696
172	70560.02157
173	70524.38921
174	70509.11892
175	70502.31933
176	70494.56074
177	70467.45319
178	70444.87621
179	70426.47323
180	70415.85854
181	70402.57912
182	70379.45747
183	70360.84628
184	70339.43513
185	70324.55217
186	70317.21872
187	70309.33843
188	70294.29351
189	70283.21832
190	70274.95725
191	70255.90322
192	70242.94005
193	70228.58895
194	70217.43093
195	70205.07286
196	70192.98533
197	70172.92061
198	70161.22872
199	70136.61531
200	70115.47644
201	70109.25143
202	70098.21372
203	70080.92993
204	70059.13575
205	70035.63803
206	70007.87624
207	69992.30859
208	69980.62778
209	69974.70275
210	69967.07698
211	69950.3946
212	69937.85554
213	69928.5056
214	69914.32025
215	69889.22741
216	69878.43786
217	69861.68536
218	69845.51332
219	69812.8353
220	69806.0544
221	69790.09788
222	69765.69451
223	69757.14151
224	69739.63142
225	69723.03994
226	69707.11064
227	69697.97971
228	69691.51844
229	69660.75421
230	69650.37828
231	69636.8811
232	69621.26488
233	69614.78311
234	69600.24652
235	69579.37384
236	69570.64758
237	69554.47457
238	69539.65751
239	69524.67977
240	69512.21386
241	69499.79178
242	69487.83415
243	69467.52113
244	69458.97748
245	69424.62503
246	69413.15795
247	69398.82018
248	69376.66116
249	69373.4694
250	69367.25467
251	69349.80172
252	69336.28783
253	69328.15439
254	69303.95249
255	69289.96828
256	69276.70865
257	69262.72775
258	69251.23015
259	69235.69437
260	69207.88899
261	69199.23604
