iter	Passed	Remaining
0	84	84639
1	93	46855
2	104	34649
3	114	28593
4	124	24709
5	134	22204
6	143	20351
7	153	19077
8	163	17984
9	174	17257
10	185	16658
11	195	16077
12	205	15594
13	215	15167
14	224	14769
15	234	14440
16	244	14123
17	253	13847
18	263	13609
19	273	13406
20	283	13220
21	293	13037
22	303	12881
23	312	12721
24	322	12573
25	333	12488
26	342	12341
27	352	12232
28	362	12124
29	371	12007
30	381	11927
31	390	11822
32	399	11719
33	409	11626
34	418	11534
35	427	11454
36	436	11368
37	446	11295
38	455	11226
39	465	11170
40	475	11110
41	483	11032
42	492	10971
43	502	10922
44	512	10867
45	521	10816
46	531	10780
47	541	10739
48	550	10688
49	560	10654
50	570	10608
51	578	10554
52	588	10519
53	598	10483
54	607	10445
55	616	10399
56	626	10359
57	635	10321
58	644	10278
59	653	10242
60	663	10210
61	673	10182
62	683	10162
63	692	10128
64	702	10102
65	711	10073
66	721	10044
67	730	10012
68	739	9982
69	750	9975
70	761	9962
71	771	9939
72	781	9921
73	790	9892
74	801	9880
75	811	9861
76	821	9843
77	830	9815
78	841	9804
79	850	9782
80	859	9751
81	869	9735
82	878	9707
83	889	9695
84	898	9668
85	907	9648
86	917	9629
87	927	9611
88	937	9593
89	947	9578
90	956	9558
91	966	9537
92	976	9522
93	985	9499
94	994	9474
95	1004	9454
96	1012	9429
97	1022	9407
98	1031	9386
99	1041	9369
100	1050	9348
101	1059	9325
102	1069	9315
103	1079	9302
104	1088	9278
105	1098	9267
106	1108	9247
107	1117	9230
108	1126	9211
109	1135	9187
110	1144	9166
111	1153	9143
112	1161	9118
113	1170	9099
114	1181	9091
115	1191	9079
116	1200	9061
117	1209	9040
118	1218	9019
119	1227	9004
120	1239	9003
121	1248	8984
122	1258	8972
123	1268	8964
124	1278	8950
125	1287	8933
126	1296	8911
127	1305	8890
128	1313	8869
129	1325	8872
130	1339	8885
131	1349	8876
132	1360	8867
133	1369	8847
134	1378	8830
135	1386	8810
136	1396	8794
137	1404	8773
138	1414	8759
139	1423	8744
140	1431	8723
141	1441	8710
142	1450	8691
143	1458	8671
144	1468	8660
145	1478	8649
146	1488	8638
147	1498	8627
148	1508	8614
149	1519	8608
150	1529	8598
151	1538	8583
152	1549	8575
153	1558	8561
154	1567	8544
155	1576	8529
156	1586	8520
157	1596	8506
158	1606	8495
159	1615	8480
160	1624	8464
161	1633	8449
162	1642	8431
163	1650	8414
164	1660	8400
165	1670	8392
166	1680	8381
167	1689	8367
168	1699	8358
169	1709	8348
170	1720	8341
171	1731	8333
172	1742	8330
173	1753	8323
174	1763	8311
175	1772	8299
176	1782	8286
177	1791	8274
178	1801	8261
179	1810	8248
180	1819	8233
181	1829	8222
182	1840	8215
183	1850	8204
184	1859	8191
185	1869	8180
186	1878	8166
187	1887	8152
188	1896	8139
189	1907	8131
190	1916	8118
191	1925	8104
192	1935	8091
193	1944	8079
194	1953	8065
195	1962	8048
196	1971	8036
197	1980	8020
198	1988	8004
199	1997	7990
200	2006	7975
201	2014	7959
202	2023	7943
203	2032	7929
204	2040	7914
205	2050	7901
