iter	RMSE
0	44651.09286
1	44533.27838
2	44418.28941
3	44303.38941
4	44190.2035855	44546.1452
6	44508.85773
7	44472.1286
8	44435.11797
9	44398.91602
10	44362.28397
11	44326.69577
12	44290.64747
13	44254.19365
14	44219.21993
15	44183.94834
16	44148.097
17	44112.2456
18	44076.76798
19	44042.31307
20	44007.94555
21	43973.71411
22	43938.45681
23	43903.33552
24	43868.31709
25	43834.11435
26	43800.69107
27	43766.56273
28	43732.94442
29	43699.18216
30	43665.16492
31	43631.83339
32	43597.94248
33	43564.84916
34	43531.75108
35	43498.1675
36	43465.30244
37	43432.25266
38	43399.28168
39	43366.70451
40	43333.95556
41	43301.16334
42	43269.53281
43	43237.79105
44	43205.49363
45	43173.44312
46	43141.63238
47	43109.84719
48	43078.07661
49	43046.38885
50	43015.1144
51	42983.78063
52	42952.59608
53	42921.55772
54	42890.18516
55	42859.49061
56	42829.06187
57	42797.88088
58	42766.96457
59	42736.63687
60	42705.9757
61	42675.39753
62	42645.32048
63	42614.83113
64	42585.57883
65	42555.71278
66	42526.27506
67	42496.56367
68	42466.6452
69	42437.3637
70	42409.06945
71	42379.64588
72	42350.55405
73	42321.33991
74	42292.47431
75	42264.48942
76	42236.36478
77	42207.58242
78	42179.65147
79	42151.99396
80	42123.55326
81	42096.18056
82	42068.63099
83	42040.37321
84	42013.4001
85	41985.69623
86	41958.74301
87	41930.90787
88	41903.40449
89	41876.78635
90	41848.94971
91	41821.97407
92	41795.49116
93	41768.49119
94	41741.84853
95	41714.86006
96	41688.78358
97	41662.16256
98	41636.75011
99	41610.62155
1
418
