iter	Passed	Remaining
0	501	49599
1	1183	58008
2	1672	54080
3	2383	57194
4	3043	57821
5	36715	8953	6	4396	6	10516	139721
7	12448	143163
8	14745	149093
9	17399	156592
10	20258	163911
11	22870	167714
12	25468	170444
13	28559	175436
14	31083	176137
15	33616	176487
16	38707	188981
17	43146	196556
18	47477	202403
19	50471	201885
20	55885	210235
21	61008	216303
22	66887	223928
23	73401	232439
24	78678	236034
25	83526	237729
26	88928	240436
27	94306	242502
28	98443	241016
29	103729	242034
30	108753	242064
31	113734	241685
32	118443	240476
33	122820	238416
34	127437	236670
35	133859	237973
36	138262	235420
37	143232	233694
38	147906	231340
39	153693	230539
40	158731	228418
41	164300	226891
42	168145	222891
43	172205	219170
44	176757	216036
45	180445	211826
46	184146	207654
47	188148	203827
48	191473	199289
49	195514	195514
50	199101	191293
51	202952	187340
52	206579	183193
53	210144	179012
54	213747	174884
55	217104	170582
56	220161	166086
57	223366	161748
58	227027	157764
59	230601	153734
60	233475	149271
61	235897	144582
62	238343	139979
63	240592	135333
64	242744	130708
65	245143	126286
66	247519	121912
67	250121	117704
68	252599	113486
69	254117	108907
70	255399	104318
71	256783	99860
72	258259	95520
73	259525	91184
74	260821	86940
75	261722	82649
76	262708	78471
77	263889	74430
78	265075	70463
79	266072	66518
80	267209	62678
81	268140	58860
82	269297	55157
83	270463	51516
84	271468	47906
85	272519	44363
86	273492	40866
87	274578	37442
88	275640	34067
89	276723	30747
90	277966	27491
91	279018	24262
92	280164	21087
93	281243	17951
94	282396	14862
95	283764	11823
96	284807	8808
97	285931	5835
98	286872	2897
99	288117	0
